list,100000
Is,137
clinton,137
cole,136
pipelin,134
solv,132
cook,131
rice,130
belong,130
perman,130
plan,130
junk,129
daren,129
restructur,129
penman,129
samantha,129
hart,128
lastli,128
gregori,128
smart,127
certain,127
ontario,127
just,127
core,127
advertis,127
valid,127
HI,127
with,127
univers,127
stem,127
booth,126
horribl,126
prevail,126
yoder,126
india,126
poor,126
jame,126
taught,126
introduc,125
hung,125
chronicl,125
denni,125
found,125
hi,125
deliber,125
manag,125
invok,124
advoc,124
necessari,124
produc,124
elsa,124
grass,124
move,124
alter,124
resort,124
cycl,124
gonzal,124
katherin,123
campaign,123
submiss,123
your,123
distribut,123
percept,123
defens,123
outright,123
torrey,122
commission,122
slightli,122
factori,122
freez,122
es,122
taken,122
world,122
inspir,122
farmer,122
vladimir,122
prudent,122
cellular,121
gave,121
grew,121
snow,121
protocol,121
least,121
repeat,121
alarm,121
tara,121
martin,121
disregard,121
internship,121
IV,121
catherin,121
newspap,121
eric,121
kimberle,121
registr,121
creativ,121
shortli,121
swift,121
errol,121
hire,120
simpl,120
front,120
modul,120
dept,120
jurisdict,120
tax,120
sight,120
sponsorship,120
deposit,120
MG,120
mayb,120
dina,120
DJ,120
jean,120
bate,120
shell,120
shelbi,120
exact,120
seven,120
traffic,120
popul,120
august,120
cst,120
headquart,120
roughli,120
boot,120
ad,120
aid,120
ambiti,120
lng,119
btu,119
partner,119
bullish,119
argentina,119
detail,119
manhattan,119
clearli,119
portland,119
possibl,119
withhold,119
batch,119
screen,119
difficulti,119
obstacl,119
levi,119
mother,119
conni,119
assist,119
younger,119
deem,119
wonder,119
formal,119
jacki,119
myer,119
clean,119
composit,119
diego,119
bud,119
orig,119
overse,119
matrix,119
pr,119
often,119
pressur,119
citibank,119
tire,119
pain,119
forget,119
citizen,118
shot,118
inevit,118
advis,118
job,118
light,118
tank,118
passeng,118
sam,118
daniel,118
varianc,118
amaz,118
extend,118
await,118
nerv,118
shake,118
disadvantag,118
length,118
IT,118
paid,118
code,118
martinez,118
strengthen,118
smith,118
revis,118
almost,118
kirbi,118
geoff,118
configur,118
larger,118
mexican,118
graphic,118
plaza,118
groceri,118
monthli,118
bull,118
carr,118
val,118
kind,118
joseph,118
violat,118
nov,118
approxim,117
coo,117
accru,117
cynthia,117
turn,117
ray,117
del,117
convent,117
pure,117
eva,117
steel,117
overnight,117
tobi,117
whose,117
fund,117
laura,117
loss,117
crew,117
fabul,117
lot,117
auburn,117
optim,117
forthcom,117
kenneth,117
red,117
amount,117
decor,117
asia,117
webb,117
santa,117
complaint,117
credit,117
unexpect,117
ate,117
caus,117
gloria,117
quantit,117
JV,117
slowli,117
steve,117
bill,117
eight,116
hunt,116
succeed,116
fast,116
elect,116
suspens,116
stay,116
mortgag,116
bennett,116
upward,116
paraleg,116
coverag,116
christi,116
merci,116
better,116
taffi,116
petroleum,116
miguel,116
sandwich,116
men,116
perkin,116
brain,116
unavail,116
defici,116
simplifi,116
perri,116
grill,116
lon,116
middl,116
copyright,116
display,116
wider,116
updat,116
dedic,116
dori,116
down,116
rachel,116
calcul,116
accid,116
thoma,116
do,116
motiv,116
telecommun,116
bet,116
stamp,116
increas,116
tab,116
diagram,116
chariti,116
angri,116
delay,116
sharon,116
humor,116
essenti,116
ought,116
mara,116
unsuccess,116
chairperson,116
via,116
grab,116
disciplin,116
audit,115
laid,115
differ,115
content,115
motley,115
deficit,115
admit,115
conceptu,115
salad,115
restat,115
bland,115
lloyd,115
leader,115
cathi,115
foreign,115
rare,115
unwind,115
assumpt,115
messeng,115
fell,115
rain,115
bell,115
attn,115
largest,115
flynn,115
pro,115
disclosur,115
hull,115
capabl,115
love,115
bear,115
warrant,115
harvey,115
robbi,115
dad,115
intervent,115
float,115
jul,115
flexibl,115
gareth,115
Re,115
commerci,115
competitor,115
depth,115
leadership,115
stack,115
rhett,115
fuller,115
decreas,115
capac,115
dian,115
signal,115
die,115
offens,115
alberto,115
modern,115
sept,115
icc,115
view,115
warwick,115
elliott,115
told,115
ltd,115
clarif,115
encourag,115
sourc,115
bernstein,115
wipe,115
easter,114
appear,114
develop,114
reaction,114
vast,114
provis,114
desper,114
blair,114
disappear,114
there,114
church,114
priorit,114
benefit,114
plane,114
greenberg,114
morri,114
inspect,114
permiss,114
unaccept,114
excel,114
rough,114
valuat,114
ventur,114
audio,114
realiz,114
colleg,114
senat,114
strip,114
williamson,114
equat,114
vol,114
mcconnel,114
lead,114
novemb,114
accumul,114
fill,114
architectur,114
mission,114
oscar,114
herod,114
common,114
fletch,114
menu,114
worth,114
issuanc,114
regret,114
cumul,114
presum,114
physic,114
earl,114
CT,114
devon,114
origin,114
carey,114
requir,114
keller,114
total,114
jeremi,114
mood,114
